"year","time","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","all"
1982,1,4.937,5.524,12.29,14.028,13.401,19.809,19.615,19.627,21.691,23.573,16.255
1982,2,3.771,3.944,11.187,13.381,12.27,18.858,19.481,18.614,20.828,23.335,15.416
1982,3,3.205,3.401,9.861,12.693,11.055,17.952,18.312,18.588,20.49,23.143,14.755
1982,4,2.92,3.382,9.285,12.893,11.022,17.971,18.228,18.479,20.309,23.059,14.718
1982,5,3.038,3.272,9.212,12.369,11.509,17.882,18.022,19.164,20.203,23.276,14.796
1982,6,3.147,2.836,9.581,11.561,11.758,18.417,17.758,18.785,20.453,23.614,14.806
1982,7,3.259,2.98,9.649,12.089,11.654,18.119,17.67,18.651,20.094,23.522,14.758
1982,8,3.642,3.445,9.657,12.17,11.926,18.315,17.421,19.397,20.279,24.381,15.062
1982,9,3.704,3.388,9.994,12.755,12.019,19.022,18.008,19.407,20.92,24.235,15.34
1982,10,3.676,3.643,9.95,12.055,12.763,18.751,17.72,19.903,20.656,24.579,15.354
1982,11,4.423,3.974,10.531,13.414,13.146,19.181,18.269,20.113,21.388,24.243,15.79
1982,12,5.527,4.683,11.728,14.443,14.336,19.887,18.291,20.746,21.827,24.913,16.491
1982,13,6.586,5.668,12.865,15.459,15.94,20.855,19.607,22.112,23.043,26.526,17.745
1982,14,8.423,7.321,14.178,16.68,17.315,21.592,20.844,23.392,24.615,27.399,19.025
1982,15,9.084,7.664,14.95,17.271,18.877,22.506,21.391,24.025,23.916,26.809,19.449
1982,16,11.97,10.35,17.603,18.746,20.839,23.138,22.851,24.656,24.815,27.614,20.963
1982,17,13.911,11.576,19.409,19.436,21.727,23.514,23.198,25.659,25.428,28.617,21.904
1982,18,15.395,13.131,20.467,19.406,22.212,23.666,23.273,25.373,25.616,28.525,22.285
1982,19,17.307,14.356,21.724,20.044,23.299,23.904,23.168,26.652,26.179,28.82,23.07
1982,20,18.57,15.684,23.053,21.015,24.698,24.872,24.01,28.128,27.16,29.621,24.19
1982,21,19.619,16.049,23.622,21.33,25.906,26.299,25.009,28.564,27.928,29.228,24.841
1982,22,19.556,17.443,23.885,22.837,27.006,26.882,26.339,28.653,27.173,28.723,25.296
1982,23,21.155,18.271,25.182,23.961,27.419,27.651,27.502,28.408,28.062,28.645,26.022
1982,24,21.425,19.046,24.423,25.031,26.413,27.716,28.23,27.959,27.649,28.446,26.008
1982,25,20.687,18.775,23.671,24.039,26.09,26.563,26.461,28.233,27.109,28.693,25.425
1982,26,19.997,17.365,22.84,22.985,25.486,26.269,26.782,27.928,27.09,28.623,24.986
1982,27,17.851,16.316,21.363,22.255,24.128,26.007,27.001,26.681,27.351,27.853,24.2
1982,28,16.675,16.089,20.746,21.752,23.275,25.488,26.17,26.457,26.993,27.791,23.683
1982,29,15.571,14.703,20.414,20.962,23.226,24.98,25.226,25.695,26.177,26.952,22.937
1982,30,13.729,13.842,19.264,20.22,22.095,24.749,24.382,25.557,26.253,27.479,22.376
1982,31,12.14,12.586,18.449,19.83,20.793,24.404,24.148,25.114,25.782,27.29,21.721
1982,32,11.507,11.965,17.73,19.359,19.563,23.533,23.687,24.436,25.475,26.657,21.069
1982,33,9.626,10.217,16.454,18.414,18.412,22.401,22.939,23.548,24.818,26.565,20.085
1982,34,7.423,8.881,15.108,17.249,17.46,21.927,22.302,22.684,24.143,25.748,19.088
1982,35,6.488,7.082,14.138,16.762,15.4,20.977,21.753,20.794,23.222,25.178,17.988
1982,36,5.881,7.012,13.346,16.466,14.648,20.711,21.275,20.799,22.728,24.671,17.564
1983,1,5.283,6.15,12.483,15.531,14.023,20.176,20.336,20.487,22.532,24.325,16.963
1983,2,4.048,4.695,11.185,14.516,12.954,19.633,19.728,19.463,22.229,23.462,16.057
1983,3,3.463,4.398,10.465,13.861,12.516,19.171,19.057,19.332,21.592,24.063,15.707
1983,4,3.287,4.106,10.025,13.304,12.242,18.794,18.78,18.738,21.286,24.378,15.459
1983,5,2.731,3.858,9.293,12.499,11.917,18.227,18.463,18.656,21.288,24.268,15.147
1983,6,2.587,3.752,8.881,11.991,11.357,18.119,18.08,18.427,20.983,23.907,14.837
1983,7,3.001,3.657,9.254,11.903,11.633,18.008,18.275,18.632,20.834,24.366,14.997
1983,8,3.324,3.856,9.513,12.074,11.768,18.101,18.164,18.812,20.608,23.985,15.049
1983,9,3.77,4.027,9.536,12.256,11.962,18.39,17.959,19.64,21.437,25.063,15.455
1983,10,4.303,4.838,9.954,13.604,12.786,18.808,18.394,19.932,21.604,24.983,15.924
1983,11,5.741,5.465,11.609,14.023,13.731,20.019,19.371,21.348,22.79,26.175,17.004
1983,12,6.056,5.897,11.616,14.886,14.136,20.776,19.581,21.676,23.842,27.16,17.498
1983,13,6.602,6.245,12.739,15.575,15.301,21.374,20.821,23.21,24.622,27.693,18.356
1983,14,7.716,7.19,13.919,16.624,17.473,22.488,21.298,23.816,24.564,27.641,19.15
1983,15,8.607,7.875,14.867,17.139,18.605,22.515,20.979,24.082,24.511,27.779,19.528
1983,16,10.143,8.878,16.364,17.938,20.226,22.796,21.391,24.7,24.927,27.966,20.316
1983,17,11.098,8.494,17.042,17.967,20.768,23.235,21.889,25.252,25.636,28.935,20.833
1983,18,12.61,9.679,18.955,18.231,21.475,23.812,22.024,25.663,26.381,28.992,21.518
1983,19,15.207,10.744,20.267,19.077,23.095,24.654,22.481,27.02,26.468,29.612,22.531
1983,20,16.516,11.738,21.532,20.161,24.276,25.619,24.851,28.192,27.511,29.881,23.695
1983,21,18.049,14.643,23.071,21.819,26.493,27.432,26.207,29.189,28.996,30.479,25.251
1983,22,20.184,16.575,24.828,23.75,27.635,28.376,27.031,29.371,29.11,30.361,26.229
1983,23,21.469,18.838,25.363,24.657,27.764,27.653,26.944,28.841,28.231,29.472,26.316
1983,24,21.487,18.018,24.359,23.996,27.154,27.714,27.337,28.999,28.508,29.422,26.133
1983,25,21.919,18.237,25.593,24.844,27.028,28.411,27.584,29.116,29.299,29.703,26.591
1983,26,20.751,17.009,24.672,23.967,26.41,27.882,27.391,28.538,29.237,29.634,26.023
1983,27,19.323,15.848,23.12,22.189,25.802,27.308,26.799,28.342,29.3,29.489,25.299
1983,28,16.512,14.801,21.454,21.538,24.11,26.267,26.3,27.374,28.417,29.191,24.216
1983,29,14.907,14.135,20.556,20.337,22.909,25.524,25.639,26.772,27.781,28.71,23.376
1983,30,12.949,12.437,19.326,19.78,21.212,25.005,24.737,26.27,27.625,28.297,22.477
1983,31,12.008,11.448,18.62,19.375,20.575,24.431,24.169,25.09,26.398,27.46,21.663
1983,32,10.032,10.146,16.289,18.468,17.962,23.204,23.217,23.338,25.288,26.267,20.157
1983,33,7.494,9.062,14.213,16.987,16.636,21.672,22.417,22.483,24.11,25.305,18.834
1983,34,6.732,7.997,14.204,16.264,16.248,21.374,21.479,21.443,23.481,24.488,18.152
1983,35,5.857,6.192,13.41,14.67,15.579,20.645,20.638,21.041,23.059,24.461,17.385
1983,36,5.098,5.542,12.181,14.193,13.911,20.047,19.566,20.213,22.369,24.228,16.569
1984,1,4.853,5.122,11.381,13.661,13.885,19.349,18.921,20.152,21.22,23.58,16.036
1984,2,2.785,4.288,8.698,13.219,11.154,18.573,18.958,18.321,20.63,23.102,14.857
1984,3,2.957,3.445,9.166,12.068,10.755,18.258,18.462,17.944,20.606,23.427,14.608
1984,4,3.084,3.352,9.393,11.542,10.363,18.403,18.339,18.117,20.416,23.268,14.572
1984,5,2.572,2.777,8.241,10.502,10.079,17.654,17.548,18.207,20.209,23.433,14.156
1984,6,2.156,2.519,7.461,10.514,9.572,17.479,17.082,17.896,20.057,23.505,13.891
1984,7,2.566,2.623,7.654,11.289,9.69,17.07,17.347,17.371,19.6,22.883,13.833
1984,8,2.555,2.314,7.594,10.567,10.156,17.315,17.126,17.954,19.804,23.878,13.987
1984,9,3.079,2.26,8.03,10.715,10.886,17.394,17.163,19.583,19.71,24.818,14.457
1984,10,5.378,2.679,10.994,11.687,12.291,18.889,17.792,19.81,20.385,25.11,15.508
1984,11,5.477,3.39,10.088,12.17,12.695,18.86,17.754,20.243,20.484,25.038,15.617
1984,12,5.603,3.588,10.511,13.456,14.31,19.24,18.338,20.356,21.099,24.791,16.088
1984,13,7.448,4.975,12.013,14.52,15.132,20.381,19.201,21.784,21.977,25.681,17.142
1984,14,8.367,5.295,13.093,14.914,17.749,21.187,19.838,23.106,23.498,26.655,18.229
1984,15,11.151,8.072,15.302,16.018,19.037,21.317,20.281,23.697,23.078,27.149,19.237
1984,16,12.83,10.786,18.016,17.969,20.504,22.487,21.063,25.339,24.541,28.045,20.821
1984,17,14.463,12.249,18.997,19.669,20.876,23.465,22.744,26.368,25.659,28.707,21.964
1984,18,15.69,13.774,19.992,19.742,22.876,24.684,23.741,27.539,27.041,28.122,22.933
1984,19,17.393,14.486,21.347,20.655,25.128,26.654,25.071,28.288,28.566,28.608,24.213
1984,20,18.44,16.121,22.482,22.79,26.079,27.357,27.042,28.705,28.78,29.637,25.314
1984,21,21.147,19.522,25.064,25.372,27.467,28.261,27.735,29.224,28.816,29.83,26.661
1984,22,23.463,20.585,27.171,26.899,27.149,28.065,28.006,28.825,28.373,29.155,27.057
1984,23,23.899,20.533,27.971,26.886,28.292,28.486,28.528,28.788,28.473,28.585,27.309
1984,24,21.099,18.399,25.911,25.406,26.713,28.085,28.282,27.942,27.937,28.433,26.193
1984,25,19.348,17.608,23.988,24.128,26.671,27.646,27.815,28.078,28.456,28.667,25.715
1984,26,19.118,17.497,23.385,23.699,25.378,27.102,27.521,27.597,28.886,29.159,25.436
1984,27,18.037,17.275,22.524,22.896,25.036,26.55,27.249,27.552,28.591,28.993,25.007
1984,28,15.157,14.632,20.832,21.563,23.476,25.548,25.534,26.994,27.388,28.615,23.594
1984,29,14.385,13.702,20.223,20.093,22.806,24.432,24.698,26.147,26.519,28.093,22.737
1984,30,11.942,12.196,18.138,19.483,21.15,23.933,24.106,24.989,25.855,27.218,21.591
1984,31,10.342,10.856,16.995,18.436,20.549,23.642,23.093,24.391,25.228,26.683,20.748
1984,32,8.97,9.973,16.413,17.825,19.535,22.949,22.586,23.943,24.874,26.483,20.119
1984,33,7.339,8.293,15.587,16.659,18.261,22.317,21.769,22.88,24.129,25.523,19.066
1984,34,6.95,7.79,15.227,16.223,17.487,21.799,21.25,21.842,23.317,25.094,18.471
1984,35,5.404,6.101,13.201,14.653,15.794,20.962,20.725,21.742,23.078,25.191,17.551
1984,36,3.56,5.65,11.05,14.292,13.262,19.597,19.92,19.935,22.004,24.257,16.235
1985,1,3.526,4.724,11.02,13.326,12.584,19.036,19.131,19.372,21.335,23.651,15.634
1985,2,3.128,3.996,10.663,12.71,12.372,18.624,18.849,18.923,20.863,23.464,15.232
1985,3,2.024,3.18,9.288,11.571,11.859,18.222,17.996,18.72,20.589,23.365,14.618
1985,4,1.932,3.263,9.356,11.813,11.791,18.265,18.002,19.023,20.279,23.764,14.745
1985,5,1.681,3.091,8.525,11.158,11.457,17.99,17.555,18.863,19.773,23.728,14.432
1985,6,2.444,3.204,8.899,11.113,11.686,17.775,17.173,18.927,19.82,24.108,14.548
1985,7,2.067,2.573,8.442,11.096,11.509,17.796,17.395,18.785,20.15,24.51,14.517
1985,8,2.322,2.777,8.889,11.488,11.931,18.218,17.831,19.436,20.811,24.575,14.925
1985,9,2.962,3.28,9.468,12.259,12.291,18.636,17.679,19.783,21.096,24.885,15.314
1985,10,3.662,3.757,10.226,12.872,12.414,19.077,18.542,19.795,20.89,25.005,15.648
1985,11,4.323,3.874,10.61,13.726,13.177,19.686,19.108,20.477,21.691,25.243,16.171
1985,12,6.15,5.425,11.906,14.304,14.847,20.266,18.82,21.342,21.781,25.659,16.916
1985,13,6.957,5.252,13.012,14.873,16.167,21.337,19.756,22.44,22.535,26.492,17.756
1985,14,8.575,6.138,14.313,15.633,17.498,21.537,19.929,23.979,23.296,27.575,18.687
1985,15,10.204,7.813,15.677,16.905,18.804,22.154,21.203,24.352,23.716,27.677,19.629
1985,16,11.298,8.809,16.844,17.87,19.727,22.61,21.429,24.598,24.024,27.698,20.218
1985,17,13.068,10.132,18.036,18.269,21.05,23.208,22.504,25.636,24.914,27.694,21.139
1985,18,15.023,11.085,19.258,19.017,22.721,24.274,23.532,26.873,26.632,28.024,22.316
1985,19,17.469,11.425,21.139,19.379,24.224,25.252,24.087,26.922,26.691,28.024,23.047
1985,20,18.277,12.128,22.113,20.885,25.242,26.416,25.586,27.553,27.866,28.728,24.073
1985,21,20.833,14.521,25.17,23.564,26.513,27.668,26.729,28.056,28.188,28.878,25.473
1985,22,22.746,17.304,26.971,25.395,27.044,27.656,27.55,28.328,27.865,29.207,26.359
1985,23,22.965,18.552,26.828,25.869,26.335,27.734,27.732,28.011,27.946,28.806,26.393
1985,24,23.728,18.979,27.411,25.682,26.812,27.657,27.314,27.73,27.652,27.891,26.337
1985,25,22.095,17.998,26.076,25.151,27.258,27.799,27.721,27.919,27.905,27.931,26.128
1985,26,21.106,17.235,25.214,24.161,27.164,27.756,27.123,28.566,28.303,28.317,25.903
1985,27,18.863,16.25,22.927,22.84,24.992,27.303,26.869,27.492,28.372,28.317,24.92
1985,28,16.663,15.299,21.523,21.926,23.222,26.332,26.338,26.101,27.839,27.318,23.795
1985,29,14.256,14.779,20.156,21.013,22.466,25.652,26.007,26.419,27.455,27.562,23.203
1985,30,12.371,13.351,19.035,19.95,21.392,24.66,24.756,25.463,26.881,27.22,22.181
1985,31,11.525,12.271,18.427,19.4,20.082,23.907,23.935,24.421,25.888,26.67,21.324
1985,32,9.523,11.425,16.181,18.597,18.538,22.514,22.889,23.662,25.161,26.171,20.196
1985,33,7.947,9.724,15.083,17.272,17.219,21.813,22.339,22.904,24.459,25.573,19.209
1985,34,5.052,7.303,12.316,16.246,15.906,20.631,21.614,22.174,23.591,25.467,17.93
1985,35,3.928,6.477,12.155,15.35,15.078,20.208,20.538,21.056,22.582,24.403,17.054
1985,36,3.544,5.398,11.354,14.783,13.863,19.977,19.821,20.162,21.8,23.427,16.273
1986,1,3.086,5.009,10.515,14.091,11.787,18.843,19.449,19.225,21.205,23.064,15.49
1986,2,3.159,4.712,10.172,13.721,11.724,18.757,18.819,18.775,20.558,22.613,15.137
1986,3,2.879,4.135,9.592,13.143,11.204,18.445,18.656,18.572,20.247,22.448,14.783
1986,4,2.256,3.28,8.689,12.319,10.946,18.197,17.943,18.557,19.912,22.854,14.419
1986,5,2.162,2.96,8.283,12.011,11.044,18.129,17.976,18.252,19.465,22.404,14.214
1986,6,1.803,2.653,7.661,11.441,10.632,17.603,17.629,17.941,19.045,22.232,13.863
1986,7,2.277,2.495,7.899,11.4,10.608,17.682,17.164,17.777,19.309,22.407,13.898
1986,8,2.74,2.663,8.021,11.124,10.743,17.896,16.949,18.115,19.721,22.991,14.106
1986,9,2.882,2.847,8.185,11.278,11.537,17.796,17.257,19.016,19.691,23.663,14.453
1986,10,3.477,3.425,8.801,11.688,11.947,18.144,17.538,19.368,20.069,23.973,14.819
1986,11,4.157,3.683,9.395,12.41,12.333,18.628,17.855,19.572,20.835,24.894,15.39
1986,12,5.57,4.041,11.07,13.628,13.924,19.596,18.577,20.837,22.295,26.047,16.54
1986,13,6.561,5.486,12.399,15.227,15.53,20.08,19.116,22.453,23.396,26.924,17.649
1986,14,7.569,5.99,13.162,16.092,16.525,20.808,20.147,23.091,23.6,26.916,18.266
1986,15,9.158,6.558,14.462,16.567,17.687,21.436,20.526,23.711,23.428,27.005,18.866
1986,16,11.675,8.262,16.465,17.602,20.168,22.626,21.542,24.501,23.985,27.272,20.138
1986,17,13.074,10.464,17.834,19.199,21.011,23.518,22.514,25.439,24.659,27.924,21.24
1986,18,13.2,10.577,18.15,19.42,22.49,24.614,23.489,26.795,26.826,28.577,22.16
1986,19,13.846,11.098,18.72,19.799,23.468,25.145,24.396,27.522,27.797,28.608,22.793
1986,20,15.729,13.012,20.206,21.039,24.418,26.586,25.764,28.141,28.583,28.427,23.868
1986,21,17.257,14.07,22.036,21.88,26.762,27.748,26.181,28.624,29.065,28.902,24.872
1986,22,19.227,16.557,24.175,23.549,27.982,27.556,27.094,28.901,28.743,29.072,25.799
1986,23,20.73,17.827,24.971,24.884,28.204,28.078,27.232,29.041,28.805,29.282,26.35
1986,24,20.366,18.634,24.612,25.293,26.656,28.032,27.213,28.079,28.271,28.938,26.017
1986,25,19.732,17.874,23.666,25.371,25.421,28.261,27.848,28.046,29.106,28.99,25.902
1986,26,19.72,17.769,23.074,24.644,25.019,27.419,27.415,27.511,29.096,28.619,25.501
1986,27,17.82,16.646,21.93,23.431,23.764,27.007,27.088,26.056,28.742,27.757,24.534
1986,28,16.586,15.829,20.512,22.144,22.85,25.731,25.883,25.849,27.608,27.711,23.615
1986,29,15.087,14.031,19.498,20.154,22.235,24.94,24.414,25.408,26.5,27.612,22.574
1986,30,12.642,12.352,17.54,19.191,20.989,23.852,23.841,24.681,25.781,27.226,21.482
1986,31,10.765,11.138,16.524,18.351,20.459,23.359,23.533,24.074,25.322,26.818,20.763
1986,32,9.87,10.342,15.854,17.512,19.555,22.775,22.657,23.726,24.683,26.595,20.102
1986,33,7.473,8.382,14.637,16.418,18.124,21.866,21.772,22.732,24.169,25.797,18.948
1986,34,6.131,6.562,13.787,15.442,16.601,21.584,21.581,21.852,23.55,25.409,18.103
1986,35,5.327,6.141,13.231,15.218,16.102,21.17,21.17,21.286,22.976,24.689,17.584
1986,36,4.628,5.229,12.533,14.624,14.413,20.42,20.379,20.231,22.485,23.971,16.743
1987,1,3.948,4.128,11.683,13.303,14.191,19.677,19.264,20.141,22.137,24.161,16.153
1987,2,3.473,3.306,10.814,13.094,12.763,19.021,19.231,19.194,21.18,23.608,15.458
1987,3,3.364,3.108,10.461,13.021,11.949,18.485,18.977,18.94,20.587,23.115,15.127
1987,4,3.449,3.069,10.039,12.723,12.052,18.428,18.306,18.519,20.654,22.963,14.959
1987,5,2.454,3.274,9.517,12.353,12.232,18.197,18.165,19.21,20.411,23.727,15
1987,6,2.161,2.675,8.976,11.761,11.623,17.77,17.878,18.71,20.222,23.305,14.564
1987,7,2.715,3.115,8.784,12.031,11.693,17.722,17.731,18.649,20.093,23.108,14.608
1987,8,1.869,2.865,8.446,11.751,11.438,17.595,17.789,19.02,20.411,24.225,14.646
1987,9,3.249,3.68,9.065,12.55,11.376,18.081,18.257,18.935,20.772,24.292,15.081
1987,10,3.002,4.234,9.258,13.22,11.755,18.513,18.514,19.53,21.638,25.379,15.578
1987,11,4.564,5.086,10.396,13.805,13.416,19.209,18.661,20.685,21.862,25.89,16.376
1987,12,5.114,4.856,11.256,14.332,13.872,19.926,19.037,21.342,22.475,26.574,16.834
1987,13,5.756,5.417,12.009,15.028,15.469,20.452,19.449,21.752,22.962,27.074,17.451
1987,14,6.771,6.34,13.373,16.504,15.988,21.293,20.807,22.652,23.473,27.946,18.408
1987,15,7.897,7.474,14.948,17.226,17.43,22.196,20.781,24.208,24.677,28.536,19.407
1987,16,9.954,9.82,16.575,18.712,19.773,23.423,21.816,25.329,25.879,28.674,20.798
1987,17,12.329,11.133,18.574,19.26,21.047,23.707,22.55,25.646,26.351,28.682,21.647
1987,18,15.436,11.951,20.159,18.947,21.751,24.027,22.625,26.118,26.118,28.86,22.215
1987,19,17.139,12.474,21.871,19.829,23.45,25.084,23.726,27.331,27.007,29.467,23.332
1987,20,17.681,13.605,21.439,21.235,23.895,26.255,25.933,27.585,27.945,28.952,24.051
1987,21,18.829,15.129,22.175,22.791,24.925,27.091,26.937,27.952,28.619,28.869,24.887
1987,22,19.607,16.845,23.495,23.707,26.47,27.363,26.793,28.268,28.246,29.179,25.483
1987,23,19.978,17.4,24.056,24.444,27.006,27.955,27.583,28.776,28.66,29.399,26.008
1987,24,19.907,17.496,24.098,24.13,26.99,28.331,27.481,28.834,29.183,29.512,26.086
1987,25,17.946,18,22.447,24.112,25.63,27.855,27.887,27.874,29.18,28.423,25.46
1987,26,18.712,18.578,22.607,24.044,24.723,26.981,26.774,27.362,28.38,28.586,25.141
1987,27,16.382,16.13,21.182,22.533,23.91,26.068,26.437,26.633,27.472,28.549,24.092
1987,28,15.52,15.407,20.891,21.765,23.205,25.603,26.19,26.45,27.129,28.585,23.667
1987,29,14.548,14.526,20.117,21.43,22.587,24.815,25.488,26.326,26.466,28.835,23.143
1987,30,12.702,13,19.067,20.432,21.221,24.275,24.57,25.743,26.283,28.046,22.212
1987,31,10.931,11.598,17.833,19.226,20.228,23.78,24.252,25.274,26.11,27.865,21.46
1987,32,9.359,11.058,16.797,19.058,19.793,23.202,23.533,24.357,25.441,27.435,20.776
1987,33,8.25,9.359,16.066,18.73,18.963,22.613,22.943,24.057,25.133,27.307,20.166
1987,34,4.891,7.097,13.314,17.115,16.477,21.294,22.221,22.619,24.298,26.134,18.472
1987,35,4.989,7.015,13.245,16.834,15.377,20.656,21.685,21.225,23.209,25.325,17.823
1987,36,4.985,6.426,13.134,16.192,15.477,20.277,20.767,21.297,22.987,25.325,17.556
1988,1,3.547,5.832,12.141,15.718,14.931,20.474,20.664,20.912,22.78,25.148,17.125
1988,2,3.251,4.909,11.555,15.244,13.993,20.003,20.015,20.404,22.322,24.881,16.606
1988,3,3.114,4.178,10.624,14.826,12.982,19.241,19.108,20.146,21.902,24.822,16.07
1988,4,2.316,3.666,9.807,14.06,12.36,18.873,18.975,19.739,21.741,25.213,15.717
1988,5,2.523,4,9.383,13.466,11.963,18.79,18.563,19.801,21.456,24.943,15.558
1988,6,2.511,4.001,8.707,12.898,10.981,18.466,18.121,18.872,21.441,24.586,15.124
1988,7,2.148,3.233,8.931,12.359,10.907,18.177,17.708,19.043,21.129,24.701,14.917
1988,8,3.034,3.205,9.49,12.581,11.919,18.561,18.196,19.971,21.509,25.511,15.495
1988,9,3.295,3.059,9.762,12.483,12.128,19.054,18.423,20.012,21.612,25.88,15.675
1988,10,4.355,3.755,10.23,13.513,12.811,19.477,18.548,20.187,21.44,25.189,15.992
1988,11,5.081,4.696,10.739,14.513,13.45,19.259,18.133,20.381,21.322,25.095,16.24
1988,12,6.148,5.253,11.849,15.406,14.252,20.249,19.621,21.302,21.68,26.423,17.14
1988,13,6.96,5.803,12.911,16.078,15.486,20.855,19.636,22.299,22.488,27.226,17.833
1988,14,8.138,6.525,13.892,16.937,16.807,21.345,19.777,22.828,22.763,27.766,18.498
1988,15,9.552,7.87,15.348,18.228,18.513,22.384,20.984,24.075,23.48,28.415,19.678
1988,16,12.256,10.239,16.835,19.333,19.807,23.099,21.656,25.042,24.17,28.252,20.762
1988,17,12.822,10.869,18.134,19.79,21.154,23.278,22.067,25.968,25.374,28.787,21.527
1988,18,15.692,13.276,19.549,20.92,22.172,24.224,22.877,26.984,26.245,29.36,22.746
1988,19,17.731,14.583,20.932,21.616,24.512,25.859,23.548,28.509,27.509,30.182,24.081
1988,20,18.707,14.047,21.992,22.161,26.711,26.941,25.158,29.104,28.735,29.886,24.943
1988,21,19.564,15.357,22.403,22.47,26.231,26.895,26.227,28.791,28.763,29.97,25.229
1988,22,21.394,16.49,24.23,23.474,26.791,27.183,26.624,29.206,28.313,29.612,25.795
1988,23,22.861,17.649,25.689,24.083,27.529,27.33,27.365,28.623,27.554,29.052,26.137
1988,24,22.353,19.198,25.608,25.496,27.01,28.096,27.051,28.616,28.211,29.913,26.514
1988,25,20.788,18.446,24.528,25.164,26.041,27.508,26.846,28.337,28.01,29.765,25.958
1988,26,20.12,17.588,23.554,24.21,25.488,27.101,27.305,28.182,28.557,29.817,25.676
1988,27,19.164,16.794,22.54,22.752,24.225,26.634,26.739,27.117,28.396,29.11,24.848
1988,28,17.023,16.019,20.954,22.206,23.168,25.584,26.319,26.003,27.547,27.96,23.817
1988,29,14.462,13.964,19.574,21.061,22.203,24.861,25.504,25.459,26.608,27.908,22.784
1988,30,13.275,12.493,18.751,19.956,21.001,24.071,24.102,25.125,26.13,27.503,21.895
1988,31,10.903,10.839,16.915,18.117,19.955,23,23.173,24.009,25.138,26.475,20.565
1988,32,8.997,9.644,15.746,17.934,18.876,22.575,22.811,23.436,24.625,26.078,19.838
1988,33,7.705,8.567,14.789,16.683,17.808,21.642,21.756,22.443,23.659,25.727,18.863
1988,34,6.589,7.593,13.889,15.959,16.339,20.836,20.62,21.593,22.766,24.837,17.887
1988,35,4.921,6.717,12.517,15.535,14.898,20.292,20.287,20.571,22.28,24.08,17.029
1988,36,3.52,5.786,11.51,14.942,14.418,19.782,20.049,20.572,21.981,23.829,16.514
1989,1,3.88,5.268,11.672,14.201,13.768,19.866,19.988,20.326,21.247,23.64,16.235
1989,2,3.601,4.232,11.531,13.592,13.32,19.862,19.625,20.335,21.248,23.939,16.006
1989,3,3.431,3.952,11.076,13.418,12.663,19.487,18.925,19.605,20.916,23.472,15.586
1989,4,3.126,3.395,10.412,13.006,11.689,18.998,18.542,19.131,20.665,23.229,15.143
1989,5,3.384,3.512,10.509,12.993,11.894,18.961,18.328,18.975,20.25,23.813,15.226
1989,6,3.355,3.844,10.21,12.421,11.814,19.043,18.35,19.12,20.545,23.729,15.202
1989,7,3.153,3.251,10.019,12.466,11.705,19.136,18.616,18.812,20.682,23.443,15.068
1989,8,3.011,2.946,9.634,12.21,11.732,18.662,18.6,18.871,20.532,23.424,14.928
1989,9,3.763,3.061,10.174,12.715,12.602,18.465,18.354,19.242,20.358,23.352,15.157
1989,10,4.701,3.824,11.13,13.333,13.829,19.236,18.342,20.144,21.266,24.82,15.992
1989,11,5.272,4.302,11.802,14.339,14.244,19.929,18.699,20.816,21.736,25.488,16.586
1989,12,6.093,4.341,12.416,14.429,15.056,20.13,18.906,21.758,21.923,25.646,16.962
1989,13,6.955,4.051,13.035,14.167,15.481,20.436,19.251,21.88,22.698,26.51,17.323
1989,14,8.719,6.001,14.309,15.686,16.325,20.914,19.919,22.59,24.046,27.289,18.414
1989,15,10.13,7.699,15.75,16.963,17.785,21.987,20.645,23.641,24.825,27.618,19.489
1989,16,11.04,8.686,16.926,17.761,19.447,22.553,21.171,25.019,25.015,28.409,20.372
1989,17,11.927,9.062,17.959,18.314,20.254,23.225,21.876,25.616,25.845,29.361,21.117
1989,18,13.626,11.048,18.914,19.207,21.715,24.239,23.219,26.067,26.663,28.903,22.069
1989,19,15.03,12.249,19.717,19.911,22.813,25.046,24.179,27.235,27.602,29.642,23.04
1989,20,16.84,13.462,21.44,20.905,24.906,26.649,25.256,28.387,28.649,29.674,24.264
1989,21,20.032,16.725,23.875,23.299,25.953,26.945,26.942,27.973,27.8,29.256,25.348
1989,22,21.595,19.784,24.44,24.74,25.691,26.866,26.44,27.918,27.521,29.207,25.77
1989,23,22.367,20.211,24.92,25.021,26.342,27.7,26.646,28.707,28.651,29.686,26.379
1989,24,22.159,18.093,24.924,24.326,26.3,27.923,26.934,28.407,28.455,29.207,26.056
1989,25,21.212,18.629,24.135,25.109,26.391,27.616,27.628,28.677,28.114,29.613,26.136
1989,26,20.193,18.215,23.477,24.754,25.63,27.792,27.537,27.791,28.192,28.607,25.649
1989,27,17.967,16.528,22.226,23.366,24.634,27.116,26.944,27.472,28.047,28.842,24.841
1989,28,16.272,15.802,20.964,21.927,23.64,26.057,25.928,26.594,27.831,28.178,23.887
1989,29,15.028,15.286,20.005,20.602,21.878,25.109,25.022,25.299,27.081,27.661,22.87
1989,30,13.163,13.651,19.008,19.509,21.203,24.372,24.308,24.797,25.833,27.108,21.911
1989,31,12.08,12.093,18.538,18.764,20.753,23.98,23.461,24.751,25.109,27.046,21.309
1989,32,10.811,11.876,17.232,17.9,18.905,23.39,22.896,23.215,24.873,25.975,20.361
1989,33,8.948,10.033,15.954,16.857,18.076,22.634,21.936,22.245,23.864,25.181,19.268
